EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,492,3,80,-2,5,8
1,497,3,80,-2,5,8
1,499,3,80,-2,5,5
1,508,3,80,-2,5,8
1,510,3,80,-2,5,9
1,514,3,80,-2,5,9
1,523,3,80,-2,5,10
1,529,3,80,-2,5,6
1,531,3,80,-2,5,10
1,537,3,80,-2,5,7
1,543,3,80,-2,5,5
1,549,3,80,-2,5,9
1,551,3,80,-2,5,8
1,561,3,80,-2,5,8
1,562,3,80,-2,5,10
1,569,3,80,-2,5,9
1,573,3,80,-2,5,4
1,578,3,80,-2,5,6
1,595,3,80,-2,5,10
1,610,3,80,-2,5,10
1,613,3,80,-2,5,7
1,623,3,80,-2,5,9
1,635,3,80,-2,5,9
1,649,3,80,-2,5,5
1,659,3,80,-2,5,10
1,661,3,80,-2,5,4
1,665,3,80,-2,5,9
1,667,3,80,-2,5,6
1,670,3,80,-2,5,8
1,671,3,80,-2,5,10
1,675,3,80,-2,5,10
1,687,3,80,-2,5,10
1,700,3,80,-2,5,6
1,711,3,80,-2,5,4
1,722,3,80,-2,5,10
1,729,3,80,-2,5,6
1,735,3,80,-2,5,8
1,736,3,80,-2,5,10
1,739,3,80,-2,5,6
1,747,3,80,-2,5,4
1,752,3,80,-2,5,9
1,753,3,80,-2,5,10
1,754,3,80,-2,5,4
1,765,3,80,-2,5,8
1,766,3,80,-2,5,3
1,768,3,80,-2,5,8
1,769,3,80,-2,5,8
1,773,3,80,-2,5,8
1,785,3,80,-2,5,3
1,797,3,80,-2,5,9
1,815,3,80,-2,5,8
1,816,3,80,-2,5,5
1,819,3,80,-2,5,3
1,821,3,80,-2,5,9
1,822,3,80,-2,5,10
1,825,3,80,-2,5,10
1,829,3,80,-2,5,9
1,852,3,80,-2,5,6
1,857,3,80,-2,5,9
1,858,3,80,-2,5,7
1,860,3,80,-2,5,7
1,879,3,80,-2,5,6
1,880,3,80,-2,5,9
1,881,3,80,-2,5,5
1,890,3,80,-2,5,9
1,891,3,80,-2,5,5
1,900,3,80,-2,5,7
1,901,3,80,-2,5,7
1,903,3,80,-2,5,9
1,931,3,80,-2,5,4
1,934,3,80,-2,5,7
1,939,3,80,-2,5,10
1,948,3,80,-2,5,9
1,963,3,80,-2,5,10
1,967,3,80,-2,5,6
1,970,3,80,-2,5,7
1,971,3,80,-2,5,10
1,972,3,80,-2,5,9
1,993,3,80,-2,5,8
1,994,3,80,-2,5,10
1,999,3,80,-2,5,10
1,1006,3,80,-2,5,8
1,1007,3,80,-2,5,7
1,1008,3,80,-2,5,6
1,1011,3,80,-2,5,8
1,1015,3,80,-2,5,5
1,1031,3,80,-2,5,5
1,1052,3,80,-2,5,8
1,1054,3,80,-2,5,10
1,1057,3,80,-2,5,7
1,1061,3,80,-2,5,8
1,1069,3,80,-2,5,10
1,1077,3,80,-2,5,9
1,1078,3,80,-2,5,4
1,1084,3,80,-2,5,10
1,1093,3,80,-2,5,10
1,1101,3,80,-2,5,5
1,1113,3,80,-2,5,8
1,1132,3,80,-2,5,6
1,1145,3,80,-2,5,7
1,1156,3,80,-2,5,2
1,1158,3,80,-2,5,6
1,1160,3,80,-2,5,2
1,1164,3,80,-2,5,10
1,1173,3,80,-2,5,10
1,1174,3,80,-2,5,4
1,1185,3,80,-2,5,2
1,1197,3,80,-2,5,6
1,1200,3,80,-2,5,10
1,1217,3,80,-2,5,8
1,1218,3,80,-2,5,10
1,1219,3,80,-2,5,10
1,1223,3,80,-2,5,9
1,1229,3,80,-2,5,5
1,1232,3,80,-2,5,7
1,1246,3,80,-2,5,5
1,1253,3,80,-2,5,6
1,1256,3,80,-2,5,3
1,1257,3,80,-2,5,10
1,1259,3,80,-2,5,10
1,1263,3,80,-2,5,7
1,1265,3,80,-2,5,10
1,1267,3,80,-2,5,10
1,1285,3,80,-2,5,6
1,1301,3,80,-2,5,5
1,1320,3,80,-2,5,5
1,1326,3,80,-2,5,8
1,1328,3,80,-2,5,8
1,1345,3,80,-2,5,9
1,1353,3,80,-2,5,10
1,1354,3,80,-2,5,9
1,1368,3,80,-2,5,9
1,1371,3,80,-2,5,5
1,1373,3,80,-2,5,4
1,1381,3,80,-2,5,10
1,1392,3,80,-2,5,7
1,1394,3,80,-2,5,8
1,1403,3,80,-2,5,9
1,1409,3,80,-2,5,10
1,1416,3,80,-2,5,9
1,1425,3,80,-2,5,6
1,1430,3,80,-2,5,8
1,1439,3,80,-2,5,10
1,1453,3,80,-2,5,5
1,1454,3,80,-2,5,8
1,1469,3,80,-2,5,7
1,1472,3,80,-2,5,8
1,1479,3,80,-2,5,7
1,1480,3,80,-2,5,6
1,1487,3,80,-2,5,8
1,1492,3,80,-2,5,9
1,1496,3,80,-2,5,7
1,1519,3,80,-2,5,7
1,1520,3,80,-2,5,7
1,1529,3,80,-2,5,10
1,1540,3,80,-2,5,7
1,1546,3,80,-2,5,3
1,1547,3,80,-2,5,7
1,1551,3,80,-2,5,4
1,1554,3,80,-2,5,9
1,1572,3,80,-2,5,10
1,1578,3,80,-2,5,10
1,1579,3,80,-2,5,8
1,1587,3,80,-2,5,5
1,1588,3,80,-2,5,7
1,1599,3,80,-2,5,8
1,1606,3,80,-2,5,8
1,1611,3,80,-2,5,9
1,1613,3,80,-2,5,4
1,1617,3,80,-2,5,5
1,1632,3,80,-2,5,10
1,1641,3,80,-2,5,7
1,1644,3,80,-2,5,9
1,1646,3,80,-2,5,9
1,1666,3,80,-2,5,9
1,1673,3,80,-2,5,7
1,1676,3,80,-2,5,9
1,1680,3,80,-2,5,3
1,1684,3,80,-2,5,5
1,1692,3,80,-2,5,10
1,1705,3,80,-2,5,7
1,1707,3,80,-2,5,9
1,1712,3,80,-2,5,10
1,1722,3,80,-2,5,7
